Timestamp,pfas_ID,pfas_type_acronym,pfas_type_full_name,carbon_chain_length,carbon_chain_length_comment,functional_group,functional_group_comment,molecular_weight,molecular_weight_comment,pfas_type_acronym_comment,pfas_comment
21/06/2022 16:22:34,pfas_001,PFOS,Perfluorooctane sulfonate / Perfluorooctane sulfonic acid,8,extracted from external source: ITRC https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,Sulfonate / sulfonic acid,extracted from external source: ITRC,500.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:08:29,pfas_002,PFOA,Perfluorooctanoate / Perfluorooctanoic acid,8,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,414.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:10:22,pfas_003,PFBS,Perfluorobutane sulfonate / Perfluorobutane sulfonic acid,4,extracted from external source: ITRC,Sulfonate / sulfonic acid,extracted from external source: ITRC,300.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:11:29,pfas_004,PFHxS,Perfluorohexane sulfonate / Perfluorohexane sulfonic acid,6,extracted from external source: ITRC,Sulfonate / sulfonic acid,extracted from external source: ITRC,400.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:18:12,pfas_005,PFDS,Perfluorodecane sulfonate / Perfluorodecane sulfonic acid,10,extracted from external source: ITRC,Sulfonate / sulfonic acid,extracted from external source: ITRC,600.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:21:21,pfas_006,PFHxA,Perfluorohexanoate / Perfluorohexanoic acid,6,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,314.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:22:52,pfas_007,PFHpA,Perfluoroheptanoate / Perfluoroheptanoic acid	,7,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,364.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:24:22,pfas_008,PFNA,Perfluorononanoate / Perfluorononanoic acid,9,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,464.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:25:58,pfas_009,PFDA,Perfluorodecanoate / Perfluorodecanoic acid       ,10,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,514.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,PFDcA / PFDeA,NA
22/06/2022 14:28:38,pfas_010,PFUnDA,Perfluoroundecanoate / Perfluoroundecanoic acid,11,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,564.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,PFUnA / PFUA / PFUdA,NA
22/06/2022 14:30:17,pfas_011,PFDoDA,Perfluorododecanoate / Perfluorododecanoic acid,12,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,614.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,PFDoA,NA
22/06/2022 14:31:08,pfas_012,PFTrDA,Perfluorotridecanoate / Perfluorotridecanoic acid,13,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,664.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,PFTrA / PFTriDA,NA
22/06/2022 14:32:37,pfas_013,PFTeDA,Perfluorotetradecanoate / Perfluorotetradecanoic acid,14,extracted from external source: ITRC,Carboxylate / carboxylic acid,extracted from external source: ITRC,714.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
22/06/2022 14:37:54,pfas_014,PFPeDA,Perfluoropentadecanoate / Perfluoropentadecanoic acid,15,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluoropentadecanoic-acid#section=Wikidata,Carboxylate / carboxylic acid,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluoropentadecanoic-acid#section=Wikidata,764.1,(g/mol). Extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluoropentadecanoic-acid#section=Wikidata,NA,NA
04/07/2022 12:14:07,pfas_015,PFOSA,Perfluorooctane sulfonamide,8,extracted from external source: ITRC https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,Sulfonamide,extracted from external source: ITRC,499.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
12/07/2022 12:00:55,pfas_016,PFHpS,Perfluoroheptane sulfonate / Perfluoroheptane sulfonic acid,7,extracted from external source: ITRC,Sulfonate / sulfonic acid,extracted from external source: ITRC,450.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,PFHS,NA
20/09/2022 10:09:57,pfas_017,PFHxDA,Perfluorohexadecanoate / Perfluorohexadecanoic acid,16,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluorohexadecanoic-acid,Carboxylate / carboxylic acid,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluorohexadecanoic-acid,814.13,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/Perfluorohexadecanoic-acid,NA,NA
20/09/2022 10:22:37,pfas_018,7:3 FTCA,7:3 fluorotelomer carboxylic acid,10,NA,Carboxylic acid,NA,NA,NA,NA,There are not much information available on this precursor
20/09/2022 10:55:21,pfas_019,brPFOS,Branched Perfluorooctane sulfonate / Perfluorooctane sulfonic acid,8,extracted from external source: ITRC https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,Sulfonate / sulfonic acid,extracted from external source: ITRC,500.1,NA,NA,NA
20/09/2022 10:56:42,pfas_020,linPFOS,Linear Perfluorooctane sulfonate / Perfluorooctane sulfonic acid,8,extracted from external source: ITRC https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,Sulfonate / sulfonic acid,extracted from external source: ITRC,500.1,NA,NA,NA
20/09/2022 13:48:47,pfas_021,ADONA,"Dodecafluoro-3H-4,8-dioxanonanoate",7,extracted from external source: ITRC https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,Information not available,378.1,(g/mol). Extracted from external source: ITRC PhysChemProp Table,NA,NA
21/09/2022 10:18:04,pfas_022,∑PFAAs,Perfluoroalkyl acids,mixed,This group contains substances with different carbon chain lengths,mixed,This group contains substances with different functional groups,mixed,This group contains substances with different molecular weights,NA,NA
21/09/2022 10:19:33,pfas_023,∑PFCAs,Perfluoroalkyl carboxylic acids / Perfluorinated carboxylates,mixed,This group contains substances with different carbon chain lengths,Carboxylate / carboxylic acid,extracted from external source: ITRC,mixed,This group contains substances with different molecular weights,NA,NA
28/09/2022 13:50:27,pfas_024,8:2 FTSA,8:2 Fluorotelomer sulfonic acid,10,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/3016044,Sulfonate / sulfonic acid,extracted from external source: ITRC,528.18,extracted from external source: https://pubchem.ncbi.nlm.nih.gov/compound/3016044,NA,NA
29/09/2022 10:26:57,pfas_025,∑PFCs,Perfluorinated organic compounds,mixed,This group contains substances with different carbon chain lengths,mixed,This group contains substances with different functional groups,mixed,This group contains substances with different molecular weights,NA,NA
11/10/2022 16:18:40,pfas_026,∑PFSAs,Perfluorinated sulfonates / Perfluorinated sulfonic acids,mixed,This group contains substances with different carbon chain lengths,Sulfonate / sulfonic acid,NA,mixed,This group contains substances with different molecular weights,NA,NA
