Timestamp,Measurement_ID,Sample_ID,pfas_ID,Mean,Mean_comment,SE,SE_comment,SD,SD_comment,N,group_info
22/06/2022 13:20,m_001,sm_001,pfas_001,27.29,ng/g,3.448856588,Not provided. Calculate using formula.,14.22,NA,17,adult
22/06/2022 13:40,m_002,sm_002,pfas_001,74.7,ng/g ww,7.082040251,Not provided. Calculate using formula.,29.2,NA,17,egg
22/06/2022 13:43,m_003,sm_003,pfas_001,25.17,ng/g,3.651740453,Not provided. Calculate using formula.,12.65,NA,12,adult
22/06/2022 13:44,m_004,sm_004,pfas_001,82.5,ng/g ww,6.610660582,Not provided. Calculate using formula.,22.9,NA,12,egg
22/06/2022 15:18,m_005,sm_005,pfas_004,0.8,"Arithmetic mean percent. The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.3,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:21,m_006,sm_005,pfas_001,98.8,"Arithmetic mean percent. The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.3,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:22,m_007,sm_005,pfas_005,0.5,"Arithmetic mean percent. The study provides the ΣPFSA = 85 +- 16 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",0.1,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:27,m_008,sm_005,pfas_006,<0.05,"ng/g ww. Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively. ",NA,NA,NA,NA,8,adult
22/06/2022 15:42,m_009,sm_005,pfas_007,<0.05,"ng/g ww. Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively. ",NA,NA,NA,NA,8,adult
22/06/2022 15:44,m_010,sm_005,pfas_002,14.2,"Arithmetic mean percent. The study provides the ΣPFSA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",4.5,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:46,m_011,sm_005,pfas_008,28.3,"Arithmetic mean percent. The study provides the ΣPFSA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",4.5,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:49,m_012,sm_005,pfas_009,28.4,"Arithmetic mean percent. The study provides the ΣPFSA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",2.7,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:52,m_013,sm_005,pfas_010,23.9,"Arithmetic mean percent. The study provides the ΣPFSA = 5.2 +- 3.8 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",2.4,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,adult
22/06/2022 15:54,m_014,sm_005,pfas_011,0-1.0,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min.emax. percent range is given.""",NA,NA,NA,NA,8,adult
22/06/2022 15:56,m_015,sm_005,pfas_012,0-10.9,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min.emax. percent range is given.""",NA,NA,NA,NA,8,adult
22/06/2022 15:57,m_016,sm_005,pfas_013,0-15.3,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min.emax. percent range is given.""",NA,NA,NA,NA,8,adult
22/06/2022 15:58,m_017,sm_005,pfas_014,<0.05,"ng/g ww. Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively. ",NA,NA,NA,NA,8,adult
22/06/2022 16:02,m_018,sm_006,pfas_004,0-1.5,"""Where detection of the individual PFSAs or PFCAs was <60% in individual eggs or tissues, a min.emax. percent range is given.""",NA,NA,NA,NA,8,egg
22/06/2022 16:04,m_019,sm_006,pfas_001,88.4,"Arithmetic mean percent. The study provides the ΣPFSA = 5.0 +- 0.9 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",1.7,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,egg
22/06/2022 16:05,m_020,sm_006,pfas_005,11.4,"Arithmetic mean percent. The study provides the ΣPFSA = 5.0 +- 0.9 (mean +- SE, ng/g ww) from which we can calculate the individual PFAS type concentration.",1.5,Standard error of the aritmetic mean percent.,NA,Not provided. Calculate using formula.,8,egg
22/06/2022 16:11,m_021,sm_006,pfas_006,<0.05,"ng/g ww. Value under the method limits of quantitation (MLOQs). MLOQs for PFSAs and PFCAs were <0.1 and <0.05 ng/g ww, respectively.",NA,NA,NA,NA,8,egg
